Order Key,City Key,Customer Key,Stock Item Key,Order Date Key,Picked Date Key,Salesperson Key,Picker Key,WWI Order ID,WWI Backorder ID,Description,Package,Quantity,Unit Price,Tax Rate,Total Excluding Tax,Tax Amount,Total Including Tax,Lineage Key
39,69146,224,180,01-01-2013,02-01-2013,15,20,18,58,"Developer joke mug - (hip, hip, array) (White)",Each,10,13,15,130,19.5,149.5,9
40,69146,224,105,01-01-2013,02-01-2013,15,20,18,58,Superhero action jacket (Blue) 3XL,Each,6,34,15,204,30.6,234.6,9
41,49788,0,198,01-01-2013,01-01-2013,4,0,19,59,DBA joke mug - it depends (White),Each,7,13,15,91,13.65,104.65,9
42,51415,0,152,01-01-2013,01-01-2013,21,0,20,60,Ride on toy sedan car (Red) 1/12 scale,Each,4,230,15,920,138,1058,9
43,51415,0,145,01-01-2013,01-01-2013,21,0,20,60,Ride on big wheel monster truck (Black) 1/12 scale,Each,1,345,15,345,51.75,396.75,9
44,51415,0,205,01-01-2013,01-01-2013,21,0,20,60,USB food flash drive - dessert 10 drive variety pack,Packet,8,240,15,1920,288,2208,9
45,44863,264,110,01-01-2013,02-01-2013,12,20,21,61,Superhero action jacket (Blue) S,Each,2,25,15,50,7.5,57.5,9
46,44863,264,126,01-01-2013,02-01-2013,12,20,21,61,"""The Gu"" red shirt XML tag t-shirt (Black) L",Each,24,18,15,432,64.8,496.8,9
47,54129,0,109,01-01-2013,01-01-2013,8,0,22,61,Superhero action jacket (Blue) M,Each,8,30,15,240,36,276,9
48,58788,173,76,01-01-2013,01-01-2013,4,0,23,62,Halloween zombie mask (Light Brown) L,Each,24,18,15,432,64.8,496.8,9
49,58788,173,99,01-01-2013,01-01-2013,4,0,23,62,Dinosaur battery-powered slippers (Green) XL,Each,2,32,15,64,9.6,73.6,9
50,58788,173,166,01-01-2013,01-01-2013,4,0,23,62,IT joke mug - that behavior is by design (White),Each,3,13,15,39,5.85,44.85,9
51,52423,0,62,01-01-2013,01-01-2013,19,11,24,62,10 mm Double sided bubble wrap 50m,Each,30,105,15,3150,472.5,3622.5,9
52,52423,0,92,01-01-2013,01-01-2013,19,11,24,62,Plush shark slippers (Gray) L,Each,1,32,15,32,4.8,36.8,9
53,45226,189,83,01-01-2013,01-01-2013,7,0,25,63,Animal with big feet slippers (Brown) XL,Each,9,32,15,288,43.2,331.2,9
54,45226,189,151,01-01-2013,01-01-2013,7,0,25,63,Ride on toy sedan car (Blue) 1/12 scale,Each,5,230,15,1150,172.5,1322.5,9
55,45226,189,199,01-01-2013,01-01-2013,7,0,25,63,DBA joke mug - you might be a DBA if (Black),Each,4,13,15,52,7.8,59.8,9
56,59352,0,10,01-01-2013,01-01-2013,7,11,26,64,Packing knife with metal insert blade (Yellow) 18mm,Each,5,2.4,15,12,1.8,13.8,9
57,59352,0,150,01-01-2013,01-01-2013,7,11,26,64,Ride on toy sedan car (Green) 1/12 scale,Each,2,230,15,460,69,529,9
58,62500,298,206,01-01-2013,01-01-2013,12,0,27,64,USB food flash drive - fortune cookie,Each,2,32,15,64,9.6,73.6,9
59,62500,298,185,01-01-2013,01-01-2013,12,0,27,64,Developer joke mug - fun was unexpected at this time (Black),Each,5,13,15,65,9.75,74.75,9
60,65272,285,178,01-01-2013,01-01-2013,9,0,28,65,Developer joke mug - understanding recursion requires understanding recursion (White),Each,1,13,15,13,1.95,14.95,9
61,54587,89,172,01-01-2013,01-01-2013,6,0,29,66,Developer joke mug - this code was generated by a tool (White),Each,1,13,15,13,1.95,14.95,9
62,54587,89,99,01-01-2013,01-01-2013,6,0,29,66,Dinosaur battery-powered slippers (Green) XL,Each,9,32,15,288,43.2,331.2,9
63,39371,148,73,01-01-2013,01-01-2013,12,0,30,67,Halloween skull mask (Gray) M,Each,12,18,15,216,32.4,248.4,9
64,39371,148,187,01-01-2013,01-01-2013,12,0,30,67,Developer joke mug - that's a hardware problem (Black),Each,4,13,15,52,7.8,59.8,9
65,39371,148,50,01-01-2013,01-01-2013,12,0,30,67,20 mm Anti static bubble wrap (Blue) 50m,Each,40,102,15,4080,612,4692,9
66,43830,268,149,01-01-2013,02-01-2013,15,20,31,68,Ride on toy sedan car (Yellow) 1/12 scale,Each,10,230,15,2300,345,2645,9
67,43830,268,38,01-01-2013,02-01-2013,15,20,31,68,Shipping carton (Brown) 457x279x279mm,Each,200,1.28,15,256,38.4,294.4,9
68,41568,0,95,01-01-2013,01-01-2013,11,0,32,68,Ogre battery-powered slippers (Green) XL,Each,4,32,15,128,19.2,147.2,9
69,41568,0,116,01-01-2013,01-01-2013,11,0,32,68,Alien officer hoodie (Black) 3XL,Each,7,35,15,245,36.75,281.75,9
70,70600,368,160,01-01-2013,01-01-2013,9,0,33,69,RC toy sedan car with remote control (Blue) 1/50 scale,Each,4,25,15,100,15,115,9
71,62442,92,159,01-01-2013,01-01-2013,12,0,34,70,RC toy sedan car with remote control (Green) 1/50 scale,Each,3,25,15,75,11.25,86.25,9
72,62442,92,176,01-01-2013,01-01-2013,12,0,34,70,Developer joke mug - there are 10 types of people in the world (White),Each,5,13,15,65,9.75,74.75,9
73,62442,92,7,01-01-2013,01-01-2013,12,0,34,70,Air cushion film 200mmx100mm 325m,Each,7,87,15,609,91.35,700.35,9
74,56757,0,95,01-01-2013,01-01-2013,6,0,35,71,Ogre battery-powered slippers (Green) XL,Each,10,32,15,320,48,368,9
75,56757,0,157,01-01-2013,01-01-2013,6,0,35,71,RC toy sedan car with remote control (Pink) 1/50 scale,Each,4,25,15,100,15,115,9
76,56757,0,154,01-01-2013,01-01-2013,6,0,35,71,RC big wheel monster truck with remote control (Black) 1/50 scale,Each,8,45,15,360,54,414,9
77,49568,10,13,01-01-2013,01-01-2013,7,0,36,72,Permanent marker blue 5mm nib (Blue) 5mm,Each,12,2.7,15,32.4,4.86,37.26,9
78,50119,0,52,01-01-2013,01-01-2013,21,11,37,73,20 mm Anti static bubble wrap (Blue) 10m,Each,10,29,15,290,43.5,333.5,9
79,50119,0,97,01-01-2013,01-01-2013,21,11,37,73,Ogre battery-powered slippers (Green) M,Each,9,32,15,288,43.2,331.2,9
80,50119,0,218,01-01-2013,01-01-2013,21,11,37,73,USB rocket launcher (Gray),Each,8,25,15,200,30,230,9
81,50119,0,193,01-01-2013,01-01-2013,21,11,37,73,DBA joke mug - SELECT caffeine FROM mug (Black),Each,1,13,15,13,1.95,14.95,9
82,50119,0,215,01-01-2013,01-01-2013,21,11,37,73,USB food flash drive - hamburger,Each,1,32,15,32,4.8,36.8,9
83,57097,232,160,01-01-2013,01-01-2013,19,0,38,73,RC toy sedan car with remote control (Blue) 1/50 scale,Each,8,25,15,200,30,230,9
84,49101,0,87,01-01-2013,01-01-2013,12,0,39,74,Furry gorilla with big eyes slippers (Black) XL,Each,1,32,15,32,4.8,36.8,9
85,49101,0,185,01-01-2013,01-01-2013,12,0,39,74,Developer joke mug - fun was unexpected at this time (Black),Each,10,13,15,130,19.5,149.5,9
86,49101,0,86,01-01-2013,01-01-2013,12,0,39,74,Animal with big feet slippers (Brown) S,Each,4,32,15,128,19.2,147.2,9
87,49101,0,100,01-01-2013,01-01-2013,12,0,39,74,Dinosaur battery-powered slippers (Green) L,Each,6,32,15,192,28.8,220.8,9
88,43702,0,185,01-01-2013,01-01-2013,7,0,40,75,Developer joke mug - fun was unexpected at this time (Black),Each,10,13,15,130,19.5,149.5,9
89,62837,0,163,01-01-2013,01-01-2013,7,0,41,76,IT joke mug - hardware: part of the computer that can be kicked (Black),Each,2,13,15,26,3.9,29.9,9
90,63995,346,169,01-01-2013,01-01-2013,6,0,42,77,Developer joke mug - old C developers never die (Black),Each,7,13,15,91,13.65,104.65,9
91,63995,346,177,01-01-2013,01-01-2013,6,0,42,77,Developer joke mug - understanding recursion requires understanding recursion (Black),Each,3,13,15,39,5.85,44.85,9
92,63995,346,205,01-01-2013,01-01-2013,6,0,42,77,USB food flash drive - dessert 10 drive variety pack,Packet,1,240,15,240,36,276,9
93,44806,0,154,01-01-2013,01-01-2013,9,0,43,78,RC big wheel monster truck with remote control (Black) 1/50 scale,Each,8,45,15,360,54,414,9
94,44806,0,100,01-01-2013,01-01-2013,9,0,43,78,Dinosaur battery-powered slippers (Green) L,Each,9,32,15,288,43.2,331.2,9
95,57592,216,6,01-01-2013,01-01-2013,8,0,44,79,Air cushion film 200mmx200mm 325m,Each,2,90,15,180,27,207,9
96,57592,216,108,01-01-2013,01-01-2013,8,0,44,79,Superhero action jacket (Blue) L,Each,3,30,15,90,13.5,103.5,9
97,69644,0,56,01-01-2013,02-01-2013,15,20,45,80,32 mm Double sided bubble wrap 50m,Each,50,112,15,5600,840,6440,9
98,47692,0,49,01-01-2013,02-01-2013,6,20,46,80,32 mm Anti static bubble wrap (Blue) 10m,Each,90,32,15,2880,432,3312,9
99,47692,0,131,01-01-2013,02-01-2013,6,20,46,80,"""The Gu"" red shirt XML tag t-shirt (Black) 3XS",Each,72,18,15,1296,194.4,1490.4,9
100,68504,105,148,01-01-2013,02-01-2013,4,20,47,80,Ride on toy sedan car (Pink) 1/12 scale,Each,9,230,15,2070,310.5,2380.5,9
101,68504,105,1,01-01-2013,02-01-2013,4,20,47,80,Void fill 400 L bag (White) 400L,Each,80,50,15,4000,600,4600,9
102,68504,105,53,01-01-2013,02-01-2013,4,20,47,80,10 mm Anti static bubble wrap (Blue) 50m,Each,50,99,15,4950,742.5,5692.5,9
103,56153,0,69,01-01-2013,02-01-2013,11,20,48,80,Pack of 12 action figures (male),Packet,8,16,15,128,19.2,147.2,9
104,56153,0,120,01-01-2013,02-01-2013,11,20,48,80,"""The Gu"" red shirt XML tag t-shirt (Black) 6XL",Each,72,18,15,1296,194.4,1490.4,9
105,58731,376,64,01-01-2013,02-01-2013,6,20,49,80,10 mm Double sided bubble wrap 10m,Each,100,15,15,1500,225,1725,9
106,39209,0,11,01-01-2013,02-01-2013,4,20,50,80,Packing knife with metal insert blade (Yellow) 9mm,Each,45,1.89,15,85.05,12.76,97.81,9
107,57498,77,125,01-01-2013,02-01-2013,4,20,51,80,"""The Gu"" red shirt XML tag t-shirt (Black) XL",Each,24,18,15,432,64.8,496.8,9
108,50845,191,25,01-01-2013,02-01-2013,9,20,52,80,Black and orange handle with care despatch tape  48mmx75m,Each,72,3.7,15,266.4,39.96,306.36,9
109,48409,387,50,01-01-2013,02-01-2013,11,20,53,80,20 mm Anti static bubble wrap (Blue) 50m,Each,90,102,15,9180,1377,10557,9
110,48409,387,121,01-01-2013,02-01-2013,11,20,53,80,"""The Gu"" red shirt XML tag t-shirt (Black) 5XL",Each,24,18,15,432,64.8,496.8,9
111,48409,387,144,01-01-2013,02-01-2013,11,20,53,80,"""The Gu"" red shirt XML tag t-shirt (White) 3XS",Each,84,18,15,1512,226.8,1738.8,9
112,48409,387,74,01-01-2013,02-01-2013,11,20,53,80,Halloween skull mask (Gray) S,Each,48,18,15,864,129.6,993.6,9
113,57489,330,39,01-01-2013,02-01-2013,7,20,54,80,Shipping carton (Brown) 356x229x229mm,Each,75,1.14,15,85.5,12.83,98.33,9
114,40608,274,121,01-01-2013,02-01-2013,8,20,55,80,"""The Gu"" red shirt XML tag t-shirt (Black) 5XL",Each,84,18,15,1512,226.8,1738.8,9
115,40608,274,20,01-01-2013,02-01-2013,8,20,55,80,Black and yellow heavy despatch tape 48mmx100m,Each,96,4.1,15,393.6,59.04,452.64,9
116,40608,274,126,01-01-2013,02-01-2013,8,20,55,80,"""The Gu"" red shirt XML tag t-shirt (Black) L",Each,84,18,15,1512,226.8,1738.8,9
117,49253,0,120,01-01-2013,02-01-2013,6,20,56,80,"""The Gu"" red shirt XML tag t-shirt (Black) 6XL",Each,96,18,15,1728,259.2,1987.2,9
118,49253,0,139,01-01-2013,02-01-2013,6,20,56,80,"""The Gu"" red shirt XML tag t-shirt (White) L",Each,84,18,15,1512,226.8,1738.8,9
119,37955,215,156,01-01-2013,02-01-2013,15,20,57,80,RC vintage American toy coupe with remote control (Red) 1/50 scale,Each,6,30,15,180,27,207,9
120,62837,0,179,01-01-2013,02-01-2013,6,20,58,80,"Developer joke mug - (hip, hip, array) (Black)",Each,10,13,15,130,19.5,149.5,9
121,62837,0,166,01-01-2013,02-01-2013,6,20,58,80,IT joke mug - that behavior is by design (White),Each,9,13,15,117,17.55,134.55,9
122,62837,0,52,01-01-2013,02-01-2013,6,20,58,80,20 mm Anti static bubble wrap (Blue) 10m,Each,50,29,15,1450,217.5,1667.5,9
123,49788,0,29,01-01-2013,02-01-2013,4,20,59,80,Black and orange fragile despatch tape 48mmx75m,Each,288,3.7,15,1065.6,159.84,1225.44,9
124,49788,0,132,01-01-2013,02-01-2013,4,20,59,80,"""The Gu"" red shirt XML tag t-shirt (White) 7XL",Each,108,18,15,1944,291.6,2235.6,9
125,49788,0,53,01-01-2013,02-01-2013,4,20,59,80,10 mm Anti static bubble wrap (Blue) 50m,Each,60,99,15,5940,891,6831,9
126,51415,0,55,01-01-2013,02-01-2013,21,20,60,80,10 mm Anti static bubble wrap (Blue) 10m,Each,70,26,15,1820,273,2093,9
127,51415,0,170,01-01-2013,02-01-2013,21,20,60,80,Developer joke mug - old C developers never die (White),Each,9,13,15,117,17.55,134.55,9
128,54129,0,213,01-01-2013,02-01-2013,8,20,61,80,USB food flash drive - pizza slice,Each,2,32,15,64,9.6,73.6,9
129,58788,173,26,01-01-2013,02-01-2013,4,20,62,80,Black and orange glass with care despatch tape  48mmx100m,Each,168,4.1,15,688.8,103.32,792.12,9
130,45226,189,128,01-01-2013,02-01-2013,7,20,63,80,"""The Gu"" red shirt XML tag t-shirt (Black) S",Each,72,18,15,1296,194.4,1490.4,9
131,62500,298,136,01-01-2013,02-01-2013,12,20,64,80,"""The Gu"" red shirt XML tag t-shirt (White) 3XL",Each,36,18,15,648,97.2,745.2,9
132,65272,285,23,01-01-2013,02-01-2013,9,20,65,80,Black and orange this way up despatch tape 48mmx75m,Each,96,3.7,15,355.2,53.28,408.48,9
133,65272,285,121,01-01-2013,02-01-2013,9,20,65,80,"""The Gu"" red shirt XML tag t-shirt (Black) 5XL",Each,48,18,15,864,129.6,993.6,9
134,65272,285,18,01-01-2013,02-01-2013,9,20,65,81,Red and white urgent  heavy despatch tape  48mmx100m,Each,96,4.1,15,393.6,59.04,452.64,9
135,65272,285,22,01-01-2013,02-01-2013,9,20,65,81,Black and orange this way up despatch tape  48mmx100m,Each,72,4.1,15,295.2,44.28,339.48,9
136,54587,89,57,01-01-2013,02-01-2013,6,20,66,81,32 mm Double sided bubble wrap 20m,Each,50,37,15,1850,277.5,2127.5,9
137,39371,148,53,01-01-2013,02-01-2013,12,20,67,81,10 mm Anti static bubble wrap (Blue) 50m,Each,50,99,15,4950,742.5,5692.5,9
138,41568,0,135,01-01-2013,02-01-2013,11,20,68,81,"""The Gu"" red shirt XML tag t-shirt (White) 4XL",Each,48,18,15,864,129.6,993.6,9
139,70600,368,82,01-01-2013,02-01-2013,9,20,69,81,Furry animal socks (Pink) S,Pair,120,5,15,600,90,690,9
140,62442,92,165,01-01-2013,02-01-2013,12,20,70,81,IT joke mug - that behavior is by design (Black),Each,3,13,15,39,5.85,44.85,9
141,62442,92,29,01-01-2013,02-01-2013,12,20,70,81,Black and orange fragile despatch tape 48mmx75m,Each,144,3.7,15,532.8,79.92,612.72,9
142,56757,0,202,01-01-2013,02-01-2013,6,20,71,81,DBA joke mug - daaaaaa-ta (White),Each,7,13,15,91,13.65,104.65,9
143,56757,0,111,01-01-2013,02-01-2013,6,20,71,81,Superhero action jacket (Blue) XS,Each,7,25,15,175,26.25,201.25,9
144,49568,10,23,01-01-2013,02-01-2013,7,20,72,81,Black and orange this way up despatch tape 48mmx75m,Each,96,3.7,15,355.2,53.28,408.48,9
145,49568,10,10,01-01-2013,02-01-2013,7,20,72,81,Packing knife with metal insert blade (Yellow) 18mm,Each,45,2.4,15,108,16.2,124.2,9
146,57097,232,58,01-01-2013,02-01-2013,19,20,73,81,32 mm Double sided bubble wrap 10m,Each,40,22,15,880,132,1012,9
147,57097,232,79,01-01-2013,02-01-2013,19,20,73,81,Furry animal socks (Pink) XL,Pair,108,5,15,540,81,621,9
148,49101,0,37,01-01-2013,02-01-2013,12,20,74,81,Shipping carton (Brown) 480x270x320mm,Each,100,2.74,15,274,41.1,315.1,9
149,43702,0,73,01-01-2013,02-01-2013,7,20,75,81,Halloween skull mask (Gray) M,Each,60,18,15,1080,162,1242,9
150,62837,0,50,01-01-2013,02-01-2013,7,20,76,81,20 mm Anti static bubble wrap (Blue) 50m,Each,30,102,15,3060,459,3519,9
151,62837,0,48,01-01-2013,02-01-2013,7,20,76,81,32 mm Anti static bubble wrap (Blue) 20m,Each,70,48,15,3360,504,3864,9
152,63995,346,48,01-01-2013,02-01-2013,6,20,77,81,32 mm Anti static bubble wrap (Blue) 20m,Each,90,48,15,4320,648,4968,9
153,63995,346,72,01-01-2013,02-01-2013,6,20,77,81,Halloween skull mask (Gray) L,Each,36,18,15,648,97.2,745.2,9
154,44806,0,55,01-01-2013,02-01-2013,9,20,78,81,10 mm Anti static bubble wrap (Blue) 10m,Each,40,26,15,1040,156,1196,9
155,44806,0,140,01-01-2013,02-01-2013,9,20,78,81,"""The Gu"" red shirt XML tag t-shirt (White) M",Each,12,18,15,216,32.4,248.4,9
156,44806,0,54,01-01-2013,02-01-2013,9,20,78,81,10 mm Anti static bubble wrap (Blue) 20m,Each,90,42,15,3780,567,4347,9
157,57592,216,82,01-01-2013,02-01-2013,8,20,79,81,Furry animal socks (Pink) S,Pair,84,5,15,420,63,483,9
158,41628,344,6,02-01-2013,02-01-2013,11,0,80,81,Air cushion film 200mmx200mm 325m,Each,10,90,15,900,135,1035,9
159,41628,344,184,02-01-2013,02-01-2013,11,0,80,81,Developer joke mug - when your hammer is C++ (White),Each,6,13,15,78,11.7,89.7,9
160,41628,344,102,02-01-2013,02-01-2013,11,0,80,81,Dinosaur battery-powered slippers (Green) S,Each,5,32,15,160,24,184,9
161,58830,257,100,02-01-2013,02-01-2013,12,0,81,81,Dinosaur battery-powered slippers (Green) L,Each,8,32,15,256,38.4,294.4,9
162,58830,257,108,02-01-2013,02-01-2013,12,0,81,81,Superhero action jacket (Blue) L,Each,4,30,15,120,18,138,9
163,41238,288,174,02-01-2013,02-01-2013,4,20,82,81,Developer joke mug - a foo walks into a bar (White),Each,9,13,15,117,17.55,134.55,9
164,41238,288,190,02-01-2013,02-01-2013,4,20,82,81,Developer joke mug - Oct 31 = Dec 25 (White),Each,9,13,15,117,17.55,134.55,9
165,53091,154,48,02-01-2013,02-01-2013,12,20,83,129,32 mm Anti static bubble wrap (Blue) 20m,Each,100,48,15,4800,720,5520,9
166,53091,154,72,02-01-2013,02-01-2013,12,20,83,129,Halloween skull mask (Gray) L,Each,72,18,15,1296,194.4,1490.4,9
167,53091,154,192,02-01-2013,02-01-2013,12,20,83,129,DBA joke mug - two types of DBAs (White),Each,2,13,15,26,3.9,29.9,9
168,53091,154,26,02-01-2013,02-01-2013,12,20,83,129,Black and orange glass with care despatch tape  48mmx100m,Each,24,4.1,15,98.4,14.76,113.16,9
169,39957,111,90,02-01-2013,02-01-2013,7,20,84,129,Furry gorilla with big eyes slippers (Black) S,Each,8,32,15,256,38.4,294.4,9
170,39957,111,198,02-01-2013,02-01-2013,7,20,84,129,DBA joke mug - it depends (White),Each,4,13,15,52,7.8,59.8,9
171,39257,370,8,02-01-2013,03-01-2013,6,21,85,129,Large  replacement blades 18mm,Each,80,4.3,15,344,51.6,395.6,9
172,39257,370,123,02-01-2013,03-01-2013,6,21,85,129,"""The Gu"" red shirt XML tag t-shirt (Black) 3XL",Each,72,18,15,1296,194.4,1490.4,9
173,54571,386,197,02-01-2013,02-01-2013,21,20,86,129,DBA joke mug - it depends (Black),Each,9,13,15,117,17.55,134.55,9
174,54571,386,20,02-01-2013,02-01-2013,21,20,86,129,Black and yellow heavy despatch tape 48mmx100m,Each,144,4.1,15,590.4,88.56,678.96,9
175,74617,128,75,02-01-2013,02-01-2013,19,0,87,133,Halloween zombie mask (Light Brown) XL,Each,72,18,15,1296,194.4,1490.4,9
176,74617,128,160,02-01-2013,02-01-2013,19,0,87,133,RC toy sedan car with remote control (Blue) 1/50 scale,Each,6,25,15,150,22.5,172.5,9
177,40608,274,72,02-01-2013,02-01-2013,8,20,88,133,Halloween skull mask (Gray) L,Each,84,18,15,1512,226.8,1738.8,9
178,40608,274,94,02-01-2013,02-01-2013,8,20,88,133,Plush shark slippers (Gray) S,Each,10,32,15,320,48,368,9
179,63386,58,12,02-01-2013,02-01-2013,9,20,89,133,Permanent marker red 5mm nib (Red) 5mm,Each,36,2.7,15,97.2,14.58,111.78,9
180,63386,58,197,02-01-2013,02-01-2013,9,20,89,133,DBA joke mug - it depends (Black),Each,9,13,15,117,17.55,134.55,9
181,63386,58,149,02-01-2013,02-01-2013,9,20,89,133,Ride on toy sedan car (Yellow) 1/12 scale,Each,4,230,15,920,138,1058,9
182,48409,387,187,02-01-2013,02-01-2013,6,0,90,134,Developer joke mug - that's a hardware problem (Black),Each,10,13,15,130,19.5,149.5,9
183,48409,387,91,02-01-2013,02-01-2013,6,0,90,134,Plush shark slippers (Gray) XL,Each,6,32,15,192,28.8,220.8,9
184,48409,387,162,02-01-2013,02-01-2013,6,0,90,134,RC toy sedan car with remote control (Black) 1/50 scale,Each,10,25,15,250,37.5,287.5,9
185,62837,0,170,02-01-2013,02-01-2013,4,20,91,134,Developer joke mug - old C developers never die (White),Each,4,13,15,52,7.8,59.8,9
186,62837,0,36,02-01-2013,02-01-2013,4,20,91,134,Shipping carton (Brown) 305x305x305mm,Each,75,3.5,15,262.5,39.38,301.88,9
187,62837,0,92,02-01-2013,02-01-2013,4,20,91,134,Plush shark slippers (Gray) L,Each,4,32,15,128,19.2,147.2,9
188,62837,0,128,02-01-2013,02-01-2013,4,20,91,134,"""The Gu"" red shirt XML tag t-shirt (Black) S",Each,60,18,15,1080,162,1242,9
189,59893,82,102,02-01-2013,02-01-2013,4,20,92,134,Dinosaur battery-powered slippers (Green) S,Each,1,32,15,32,4.8,36.8,9
