Purchase Key,Date Key,Supplier Key,Stock Item Key,WWI Purchase Order ID,Ordered Outers,Ordered Quantity,Received Outers,Package,Is Order Finalized,Lineage Key
637,29-03-2013 00:00,20,16,151,42,420,42,Each,TRUE,10
649,01-04-2013 00:00,20,16,154,47,470,47,Each,TRUE,10
657,02-04-2013 00:00,20,16,156,48,480,48,Each,TRUE,10
665,03-04-2013 00:00,20,16,158,47,470,47,Each,TRUE,10
673,04-04-2013 00:00,20,16,160,50,500,50,Each,TRUE,10
681,05-04-2013 00:00,20,16,162,57,570,57,Each,TRUE,10
684,06-04-2013 00:00,20,16,164,6,60,6,Each,TRUE,10
692,08-04-2013 00:00,20,16,166,55,550,55,Each,TRUE,10
700,09-04-2013 00:00,20,16,168,60,600,60,Each,TRUE,10
708,10-04-2013 00:00,20,16,170,56,560,56,Each,TRUE,10
716,11-04-2013 00:00,20,16,172,60,600,60,Each,TRUE,10
724,12-04-2013 00:00,20,16,174,56,560,56,Each,TRUE,10
736,15-04-2013 00:00,20,16,177,50,500,50,Each,TRUE,10
744,16-04-2013 00:00,20,16,179,55,550,55,Each,TRUE,10
752,17-04-2013 00:00,20,16,181,58,580,58,Each,TRUE,10
760,18-04-2013 00:00,20,16,183,63,630,63,Each,TRUE,10
768,19-04-2013 00:00,20,16,185,62,620,62,Each,TRUE,10
779,22-04-2013 00:00,20,16,189,66,660,66,Each,TRUE,10
787,23-04-2013 00:00,20,16,191,62,620,62,Each,TRUE,10
795,24-04-2013 00:00,20,16,193,63,630,63,Each,TRUE,10
803,25-04-2013 00:00,20,16,195,59,590,59,Each,TRUE,10
811,26-04-2013 00:00,20,16,197,55,550,55,Each,TRUE,10
823,29-04-2013 00:00,20,16,201,47,470,47,Each,TRUE,10
831,30-04-2013 00:00,20,16,203,44,440,44,Each,TRUE,10
839,01-05-2013 00:00,20,16,205,42,420,42,Each,TRUE,10
847,02-05-2013 00:00,20,16,207,41,410,41,Each,TRUE,10
855,03-05-2013 00:00,20,16,209,46,460,46,Each,TRUE,10
865,06-05-2013 00:00,20,16,212,40,400,40,Each,TRUE,10
873,07-05-2013 00:00,20,16,214,36,360,36,Each,TRUE,10
881,08-05-2013 00:00,20,16,216,37,370,37,Each,TRUE,10
889,09-05-2013 00:00,20,16,218,54,540,54,Each,TRUE,10
897,10-05-2013 00:00,20,16,220,60,600,60,Each,TRUE,10
907,13-05-2013 00:00,20,16,223,54,540,54,Each,TRUE,10
915,14-05-2013 00:00,20,16,225,50,500,50,Each,TRUE,10
